L 9356 AP;Vendor;Jenis Kendaraan;Type;Nopol;Sparepart;Jasa; PPN ; Total Biaya ;Keterangan;Biaya Sebelum PPN;PPN Rate;Sparepart %;Jasa %
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Pick Up;TBR54;L 1357 CP;5729827;267973; Rp659.758 ; Rp6.657.558 ;Rusak sedang;5997800;0,11;0,860649956;0,040250945
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG WARU;Mini Bus;IMV;L 1702 FP;8360703;7979993; Rp1.797.477 ; Rp18.138.173 ;Rusak Berat;16340696;0,11;0,460945157;0,439955722
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Mini bus;TBR541;L 1383 CP;6608940;3147666; Rp1.073.227 ; Rp10.829.833 ;Rusak Berat;9756606;0,11;0,610253177;0,290647695
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Mini bus;TBR541;L 1348 CP;8113895;2898000; Rp1.211.310 ; Rp12.223.205 ;Rusak Berat;11011895;0,11;0,66381076;0,237090027
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Mini bus;TBR541;L 9805 CP;6878205;5870666; Rp1.402.380 ; Rp14.151.251 ;Rusak Berat;12748871;0,11;0,486049255;0,41485138
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Mini bus;TBR54;L 1362 CP;6833807;2625000; Rp1.040.469 ; Rp10.499.276 ;Rusak sedang;9458807;0,11;0,650883642;0,250017239
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 9901 NP;1168583;672000; Rp202.462 ; Rp2.043.045 ;Rusak sedang;1840583;0,11;0,571981038;0,328920802
Mei;CV. ASRI;Mini Bus;IMV;L 31 AP;630763;81081; Rp78.303 ; Rp790.147 ;Rusak Ringan;711844;0,11;0,798285797;0,102615104
Mei;CV. ASRI;Mini Bus;IMV;L 32 AP;630763;81081; Rp78.303 ; Rp790.147 ;Rusak Ringan;711844;0,11;0,798285797;0,102615104
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG WARU;Mini bus;TBR54;L 9341 AP;4713941;1709483; Rp706.576 ; Rp7.130.000 ;Rusak sedang;6423424;0,11;0,661141795;0,239759187
Mei;UD. JAYA AC;Mini Bus;IMV;L 1866 FP;2995496;698198; Rp406.306 ; Rp4.100.000 ;Rusak sedang;3693694;0,11;0,73060872;0,170292181
Mei;UD. JAYA AC;Mini bus;TBR54;L 1349 CP;2135135;315315; Rp269.550 ; Rp2.720.000 ;Rusak Ringan;2450450;0,11;0,784976247;0,115924654
Mei;UD. JAYA AC;Mini bus;TBR54;L 9805 CP;2914415;315315; Rp355.270 ; Rp3.585.000 ;Rusak Ringan;3229730;0,11;0,812946933;0,087953968
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1907 BP;4535497;3413630; Rp874.404 ; Rp8.823.531 ;Rusak Berat;7949127;0,11;0,514022901;0,386877997
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1350 CP;8396396;5775000; Rp1.558.854 ; Rp15.730.250 ;Rusak Berat;14171396;0,11;0,533773843;0,367127032
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Micro Bus;Other I;L 7806 NP;9252514;792892; Rp1.104.994 ; Rp11.150.400 ;Rusak Berat;10045406;0,11;0,829792115;0,071108839
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Pick Up;TBR54;L 9349 AP;7154765;2387297; Rp1.049.627 ; Rp10.591.689 ;Rusak Berat;9542062;0,11;0,675507466;0,225393419
Juni;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 1760 PP;3235385;1187500; Rp486.524 ; Rp4.909.409 ;Rusak Sedang;4422885;0,11;0,659017206;0,241882475
Juni;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 1829 EP;3712862;1190500; Rp539.370 ; Rp5.442.732 ;Rusak Sedang;4903362;0,11;0,682168808;0,218732063
Juni;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 32 AP;3410159;2176500; Rp614.531 ; Rp6.201.190 ;Rusak Sedang;5586659;0,11;0,549920096;0,350981021
Juni;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 34 AP;1569500;3580429; Rp566.491 ; Rp5.716.420 ;Rusak Sedang;5149929;0,11;0,274559952;0,626341137
Juni;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 36 AP;2238087;1569500; Rp418.833 ; Rp4.226.420 ;Rusak Sedang;3807587;0,11;0,529546756;0,37135448
Juni;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 1047 ZZH;3089441;1648500; Rp521.172 ; Rp5.259.113 ;Rusak Sedang;4737941;0,11;0,587445259;0,3134559
Juni;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 1036 ZZH;2457005;1563500; Rp442.254 ; Rp4.462.759 ;Rusak Sedang;4020505;0,11;0,550557402;0,350343812
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 9362 AP;1908969;2568116; Rp492.482 ; Rp4.969.567 ;Rusak sedang;4477085;0,11;0,384131857;0,516768564
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 8980 CP;3382186;2482666; Rp645.134 ; Rp6.509.986 ;Rusak sedang;5864852;0,11;0,519538137;0,381362725
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Mini bus;TBR541;L 1995 EP;5271606;1659000; Rp762.368 ; Rp7.692.974 ;Rusak sedang;6930606;0,11;0,685249424;0,21565132
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 9255 NP;5024799;3847666; Rp975.973 ; Rp9.848.438 ;Rusak Berat;8872465;0,11;0,510212787;0,390687945
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 9354 AP;6938274;2541000; Rp1.042.721 ; Rp10.521.995 ;Rusak Berat;9479274;0,11;0,6594067;0,241494127
Juni;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR Muhammad;Pick Up;TBR54;L 9365 AP;5976872;3427666; Rp1.034.501 ; Rp10.439.039 ;Rusak Berat;9404538;0,11;0,572550021;0,328350723
Juni;PT.  UNITED MOTORS CENTRE;Ambulance;GC415;L 1152 CP;723605;210600; Rp102.763 ; Rp1.036.968 ;Rusak Ringan;934205;0,11;0,697808721;0,20309218
